obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
1710|https://bga.uniandes.edu.co/catalogo/api/items/1710|Serie Sinfín|2010|39x100 cm|Serigrafía sobre tela|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1703|https://bga.uniandes.edu.co/catalogo/api/items/1703|Epílogo de la caja-boceto|2010|25x35 cm|Óleo sobre lienzo|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1702|https://bga.uniandes.edu.co/catalogo/api/items/1702|Epílogo de la caja|2010|100x180 cm|Óleo sobre lienzo|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1706|https://bga.uniandes.edu.co/catalogo/api/items/1706|Estudio ciento un mujeres III|2010|26x37.5 cm|Óleo sobre papel entelado, |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1704|https://bga.uniandes.edu.co/catalogo/api/items/1704|Estudio ciento un mujeres I|2010|26x37.5cm|Óleo sobre papel entelado, |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1705|https://bga.uniandes.edu.co/catalogo/api/items/1705|Estudio ciento un mujeres II|2010|26x37.5cm|Óleo sobre papel entelado, |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1707|https://bga.uniandes.edu.co/catalogo/api/items/1707|Identificaciones |2010|27x23 cm|Óleo sobre tela |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1708|https://bga.uniandes.edu.co/catalogo/api/items/1708|AC/La caja en la caja |2010|41x61x27cm|Esmalte sobre televisor|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1712|https://bga.uniandes.edu.co/catalogo/api/items/1712|Cuaderno Inundados|2012|N/A|Cuaderno con bocetos en lápiz sobre papel,|2126|https://bga.uniandes.edu.co/catalogo/api/items/2126|Recortes de periódico para la serie Inundados|1998-2012|Periódico EL TIEMPO
1713|https://bga.uniandes.edu.co/catalogo/api/items/1713|Los Inundados 5|2011|25x35 cm|Lápiz y sanguina sobre papel,|2126|https://bga.uniandes.edu.co/catalogo/api/items/2126|Recortes de periódico para la serie Inundados|1998-2012|Periódico EL TIEMPO
